                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4986,                 1.4625,                 1.5735,                0.62092,                0.62555,                0.64313,                0.34146,                 1.5939,                 1.2629,                 1.6406,             0.00041608,             0.00041608,             0.00041608
                      2,                 1.4673,                 1.2502,                 1.5393,                0.64901,                0.69947,                0.68129,                0.37363,                 1.5819,                 1.1449,                 1.6752,             0.00080527,             0.00080527,             0.00080527
                      3,                 1.4117,                 1.1743,                 1.5015,                0.67958,                0.71847,                0.72239,                0.39514,                 1.4974,                 1.0582,                 1.5976,               0.001167,               0.001167,               0.001167
                      4,                 1.3689,                 1.0966,                 1.4752,                0.68012,                0.79224,                0.77274,                0.44442,                 1.4279,                0.94927,                  1.524,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.3209,                 1.0257,                 1.4371,                0.74239,                0.74843,                0.78506,                0.46202,                 1.3986,                0.90606,                  1.511,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.2865,                0.97906,                 1.4173,                0.75904,                0.73379,                0.81217,                0.48433,                 1.3532,                0.83327,                 1.5042,               0.001085,               0.001085,               0.001085
                      7,                 1.2595,                0.94172,                 1.3973,                0.73533,                 0.7836,                0.80652,                0.49184,                 1.3544,                0.82993,                 1.5012,              0.0010438,              0.0010438,              0.0010438
                      8,                 1.2321,                0.90517,                 1.3834,                0.75161,                0.76801,                0.81148,                 0.5044,                 1.3362,                0.82202,                 1.4794,              0.0010025,              0.0010025,              0.0010025
                      9,                 1.2098,                0.87637,                 1.3612,                0.76482,                0.79297,                0.82575,                0.51322,                  1.307,                0.79548,                 1.4494,             0.00096125,             0.00096125,             0.00096125
                     10,                 1.1868,                 0.8419,                 1.3481,                0.78764,                0.76773,                0.83448,                0.52516,                 1.3027,                0.75709,                 1.4773,                0.00092,                0.00092,                0.00092
                     11,                 1.1603,                0.81451,                 1.3365,                0.78367,                0.77367,                 0.8314,                0.52582,                 1.2968,                0.80057,                 1.4502,             0.00087875,             0.00087875,             0.00087875
                     12,                 1.1468,                0.79288,                 1.3175,                0.80663,                0.78056,                0.84792,                0.53963,                 1.2648,                0.71774,                 1.4527,              0.0008375,              0.0008375,              0.0008375
                     13,                 1.1263,                0.77211,                  1.308,                 0.7767,                0.81221,                0.85916,                0.53772,                 1.2922,                0.72449,                  1.469,             0.00079625,             0.00079625,             0.00079625
                     14,                 1.1163,                0.74944,                 1.3001,                0.80076,                0.81904,                0.86494,                0.55472,                 1.2538,                0.71602,                  1.436,               0.000755,               0.000755,               0.000755
                     15,                 1.0989,                0.73336,                 1.2892,                0.82239,                0.81456,                0.87185,                0.55461,                 1.2572,                  0.681,                 1.4325,             0.00071375,             0.00071375,             0.00071375
                     16,                 1.0734,                0.71177,                 1.2706,                0.83295,                0.80023,                0.87252,                0.57173,                 1.2162,                0.68888,                 1.3983,              0.0006725,              0.0006725,              0.0006725
                     17,                 1.0488,                  0.689,                 1.2585,                0.82436,                0.80466,                0.86877,                0.56814,                 1.2179,                0.69834,                 1.4285,             0.00063125,             0.00063125,             0.00063125
                     18,                 1.0398,                0.67444,                 1.2504,                0.82907,                0.79708,                0.87014,                0.57399,                 1.2018,                0.67798,                 1.4226,                0.00059,                0.00059,                0.00059
                     19,                 1.0202,                0.65083,                 1.2403,                0.81898,                  0.823,                0.87882,                0.57734,                 1.2052,                 0.6654,                 1.4215,             0.00054875,             0.00054875,             0.00054875
                     20,                 1.0017,                0.63323,                 1.2282,                0.85725,                0.80571,                 0.8834,                0.58733,                 1.2073,                0.65995,                  1.433,              0.0005075,              0.0005075,              0.0005075
                     21,                0.99151,                0.55484,                 1.2185,                0.86311,                0.82228,                0.89017,                  0.599,                 1.1817,                0.66488,                 1.4072,             0.00046625,             0.00046625,             0.00046625
                     22,                0.96505,                0.53284,                 1.2014,                0.87292,                0.81291,                 0.8953,                0.60306,                 1.1717,                0.64581,                 1.4135,               0.000425,               0.000425,               0.000425
                     23,                0.94291,                0.50982,                 1.1872,                0.85704,                0.83182,                0.89824,                0.60779,                 1.1682,                 0.6523,                 1.4168,             0.00038375,             0.00038375,             0.00038375
                     24,                0.91759,                0.48838,                  1.169,                0.85283,                0.84875,                 0.8979,                0.60437,                 1.1699,                0.64084,                  1.434,              0.0003425,              0.0003425,              0.0003425
                     25,                0.89565,                0.47014,                 1.1545,                 0.8616,                0.83414,                 0.8972,                 0.6127,                 1.1594,                0.63858,                 1.4356,             0.00030125,             0.00030125,             0.00030125
                     26,                0.87178,                0.45531,                 1.1367,                0.87025,                0.83918,                0.89953,                0.61088,                 1.1461,                 0.6245,                  1.436,                0.00026,                0.00026,                0.00026
                     27,                0.84699,                0.43858,                 1.1197,                0.88489,                0.84102,                0.90546,                0.62292,                 1.2123,                0.63679,                  1.523,             0.00021875,             0.00021875,             0.00021875
                     28,                0.83105,                 0.4256,                 1.1122,                 0.8608,                0.84586,                0.90141,                0.61897,                 1.2089,                0.63313,                 1.5217,              0.0001775,              0.0001775,              0.0001775
                     29,                 0.8078,                0.41069,                 1.0954,                0.87641,                0.84217,                0.89924,                0.62167,                 1.1976,                  0.652,                  1.549,             0.00013625,             0.00013625,             0.00013625
                     30,                0.78813,                0.39898,                 1.0862,                0.88637,                0.83866,                 0.9051,                 0.6253,                 1.1913,                0.63812,                 1.5449,                9.5e-05,                9.5e-05,                9.5e-05
